author,community_id,degree,degree_centrality,betweenness_centrality
Latif R.M.A.,0,9,0.010238907849829351,0.0
Nabeel M.,0,9,0.010238907849829351,0.0
Ahmad S.,0,9,0.010238907849829351,0.0
Ali Khan J.,0,9,0.010238907849829351,0.0
Fatima R.,0,9,0.010238907849829351,0.0
El-Affendi M.A.,0,9,0.010238907849829351,0.0
Samad Shaikh N.,0,9,0.010238907849829351,0.0
Riaz A.,0,9,0.010238907849829351,0.0
Alyamani K.A.Z.,0,9,0.010238907849829351,0.0
Yasin A.,0,9,0.010238907849829351,0.0
Qaiser A.,1,0,0.012514220705346985,7.256123001650768e-05
Yu H.,2,3,0.011376564277588168,0.00256167056683278
Meng Y.,2,3,0.010238907849829351,0.0013682974803112878
Wu H.,2,3,0.019340159271899884,0.0060005545751151265
Zhang H.,2,3,0.011376564277588168,0.0018140307504126922
Liu Y.,3,0,0.011376564277588168,0.00012439068002829888
Zhang Y.,4,9,0.034129692832764506,0.0214861823303286
Yang S.,4,3,0.011376564277588168,0.0007406058196327722
Zhang X.,4,3,0.011376564277588168,0.002256308723846644
Wang D.,4,1,0.011376564277588168,0.004847349312352772
Li C.,4,2,0.010238907849829351,0.0022545810755129174
Wang L.,4,3,0.0136518771331058,0.001787258371412553
Jin Y.,4,5,0.020477815699658702,0.00916211400479867
Wang X.,4,2,0.011376564277588168,0.006375022351450318
Chen H.,4,5,0.017064846416382253,0.004866785356107194
Wang S.,4,8,0.03526734926052332,0.01215969492692109
Li X.,4,3,0.01820250284414107,0.0026339232882182655
Wang Y.,4,5,0.017064846416382253,0.00374921901040057
Wang H.,4,9,0.020477815699658702,0.010193051126914151
Chen Z.,4,1,0.0136518771331058,0.0035762320508135933
Shu K.,4,7,0.014789533560864617,0.0053137032993517234
Xu X.,4,4,0.017064846416382253,0.0031624232538504066
Yu P.S.,4,5,0.011376564277588168,0.0009173812652087043
Li Y.,4,5,0.014789533560864617,0.0022649469655152757
Liu Q.,4,4,0.015927189988623434,0.00252833312416448
Nakov P.,5,3,0.019340159271899884,0.00016974144878861616
Elsayed T.,5,3,0.019340159271899884,0.0002163879537992282
Atanasova P.,5,3,0.0136518771331058,0.0001567840862856684
Hasanain M.,5,3,0.0136518771331058,3.6280615008253835e-05
Zhao Y.,6,3,0.014789533560864617,0.00034207437007782195
Yao S.,6,3,0.010238907849829351,3.88720875088434e-06
Shao H.,6,3,0.010238907849829351,3.88720875088434e-06
Wang Z.,6,3,0.0136518771331058,0.00015937555878625794
Demartini G.,7,6,0.012514220705346985,1.088418450247615e-05
Portelli B.,7,6,0.012514220705346985,3.88720875088434e-05
Roitero K.,7,6,0.012514220705346985,1.088418450247615e-05
Serra G.,7,6,0.012514220705346985,3.88720875088434e-05
Mizzaro S.,7,6,0.012514220705346985,1.088418450247615e-05
Spina D.,7,6,0.012514220705346985,1.088418450247615e-05
Soprano M.,7,6,0.012514220705346985,1.088418450247615e-05
