embedding_model,topic_id,topic_label,document_id,score,x,y,density,color,label,cohesive
all-MiniLM-L6-v2,2,"evidence, graph",39,,10.138748,10.189508,0.2593091130256653,"(1.0, 0.7333333333333333, 0.47058823529411764, 1.0)","T2
0.26",True
all-MiniLM-L6-v2,2,"evidence, graph",46,,10.339205,10.373024,0.2593091130256653,"(1.0, 0.7333333333333333, 0.47058823529411764, 1.0)","T2
0.26",True
all-MiniLM-L6-v2,2,"evidence, graph",115,,10.61899,10.604196,0.2593091130256653,"(1.0, 0.7333333333333333, 0.47058823529411764, 1.0)","T2
0.26",True
all-MiniLM-L6-v2,2,"evidence, graph",147,,10.545762,10.428828,0.2593091130256653,"(1.0, 0.7333333333333333, 0.47058823529411764, 1.0)","T2
0.26",True
all-MiniLM-L6-v2,2,"evidence, graph",212,,10.455318,10.302342,0.2593091130256653,"(1.0, 0.7333333333333333, 0.47058823529411764, 1.0)","T2
0.26",True
all-MiniLM-L6-v2,2,"evidence, graph",214,,10.227315,10.176484,0.2593091130256653,"(1.0, 0.7333333333333333, 0.47058823529411764, 1.0)","T2
0.26",True
all-MiniLM-L6-v2,2,"evidence, graph",223,,10.532238,10.273299,0.2593091130256653,"(1.0, 0.7333333333333333, 0.47058823529411764, 1.0)","T2
0.26",True
all-MiniLM-L6-v2,2,"evidence, graph",298,,10.3145485,10.212638,0.2593091130256653,"(1.0, 0.7333333333333333, 0.47058823529411764, 1.0)","T2
0.26",True
all-MiniLM-L6-v2,2,"evidence, graph",299,,10.216923,10.280688,0.2593091130256653,"(1.0, 0.7333333333333333, 0.47058823529411764, 1.0)","T2
0.26",True
all-MiniLM-L6-v2,2,"evidence, graph",300,,10.254511,10.3146,0.2593091130256653,"(1.0, 0.7333333333333333, 0.47058823529411764, 1.0)","T2
0.26",True
all-MiniLM-L6-v2,2,"evidence, graph",301,,10.672334,10.1823225,0.2593091130256653,"(1.0, 0.7333333333333333, 0.47058823529411764, 1.0)","T2
0.26",True
all-MiniLM-L6-v2,2,"evidence, graph",303,,10.321277,10.262498,0.2593091130256653,"(1.0, 0.7333333333333333, 0.47058823529411764, 1.0)","T2
0.26",True
all-MiniLM-L6-v2,2,"evidence, graph",343,,10.155292,10.36862,0.2593091130256653,"(1.0, 0.7333333333333333, 0.47058823529411764, 1.0)","T2
0.26",True
all-MiniLM-L6-v2,2,"evidence, graph",345,,10.217946,10.189118,0.2593091130256653,"(1.0, 0.7333333333333333, 0.47058823529411764, 1.0)","T2
0.26",True
all-MiniLM-L6-v2,2,"evidence, graph",376,,10.16796,10.182378,0.2593091130256653,"(1.0, 0.7333333333333333, 0.47058823529411764, 1.0)","T2
0.26",True
all-MiniLM-L6-v2,2,"evidence, graph",377,,10.534075,10.26082,0.2593091130256653,"(1.0, 0.7333333333333333, 0.47058823529411764, 1.0)","T2
0.26",True
all-MiniLM-L6-v2,4,Fact-Checking & Verification,28,,15.191893,5.099487,0.25948646664619446,"(0.596078431372549, 0.8745098039215686, 0.5411764705882353, 1.0)","T4
0.26",True
all-MiniLM-L6-v2,4,Fact-Checking & Verification,38,,14.985441,5.274,0.25948646664619446,"(0.596078431372549, 0.8745098039215686, 0.5411764705882353, 1.0)","T4
0.26",True
all-MiniLM-L6-v2,4,Fact-Checking & Verification,103,,15.170171,5.28894,0.25948646664619446,"(0.596078431372549, 0.8745098039215686, 0.5411764705882353, 1.0)","T4
0.26",True
all-MiniLM-L6-v2,4,Fact-Checking & Verification,109,,15.059351,5.092412,0.25948646664619446,"(0.596078431372549, 0.8745098039215686, 0.5411764705882353, 1.0)","T4
0.26",True
all-MiniLM-L6-v2,4,Fact-Checking & Verification,118,,14.768094,5.23198,0.25948646664619446,"(0.596078431372549, 0.8745098039215686, 0.5411764705882353, 1.0)","T4
0.26",True
all-MiniLM-L6-v2,4,Fact-Checking & Verification,187,,15.296026,5.255375,0.25948646664619446,"(0.596078431372549, 0.8745098039215686, 0.5411764705882353, 1.0)","T4
0.26",True
