embedding_model,topic_id,topic_label,document_id,score,x,y,density,color,label,cohesive
all-mpnet-base-v2,2,Misinformation & Propaganda,4,,9.100987,6.9481316,0.27447378635406494,"(1.0, 0.7333333333333333, 0.47058823529411764, 1.0)","T2
0.27",True
all-mpnet-base-v2,2,Misinformation & Propaganda,5,,9.0731735,6.9714646,0.27447378635406494,"(1.0, 0.7333333333333333, 0.47058823529411764, 1.0)","T2
0.27",True
all-mpnet-base-v2,2,Misinformation & Propaganda,6,,9.116958,7.0506377,0.27447378635406494,"(1.0, 0.7333333333333333, 0.47058823529411764, 1.0)","T2
0.27",True
all-mpnet-base-v2,2,Misinformation & Propaganda,11,,9.072053,6.9138823,0.27447378635406494,"(1.0, 0.7333333333333333, 0.47058823529411764, 1.0)","T2
0.27",True
all-mpnet-base-v2,2,Misinformation & Propaganda,20,,9.135479,7.21078,0.27447378635406494,"(1.0, 0.7333333333333333, 0.47058823529411764, 1.0)","T2
0.27",True
all-mpnet-base-v2,2,Misinformation & Propaganda,21,,9.50343,7.2588797,0.27447378635406494,"(1.0, 0.7333333333333333, 0.47058823529411764, 1.0)","T2
0.27",True
all-mpnet-base-v2,2,Misinformation & Propaganda,102,,9.399761,7.3346486,0.27447378635406494,"(1.0, 0.7333333333333333, 0.47058823529411764, 1.0)","T2
0.27",True
all-mpnet-base-v2,2,Misinformation & Propaganda,162,,9.234537,6.9466443,0.27447378635406494,"(1.0, 0.7333333333333333, 0.47058823529411764, 1.0)","T2
0.27",True
all-mpnet-base-v2,2,Misinformation & Propaganda,221,,9.180227,7.05289,0.27447378635406494,"(1.0, 0.7333333333333333, 0.47058823529411764, 1.0)","T2
0.27",True
all-mpnet-base-v2,2,Misinformation & Propaganda,323,,9.077608,7.0501404,0.27447378635406494,"(1.0, 0.7333333333333333, 0.47058823529411764, 1.0)","T2
0.27",True
all-mpnet-base-v2,2,Misinformation & Propaganda,347,,9.15782,6.9702835,0.27447378635406494,"(1.0, 0.7333333333333333, 0.47058823529411764, 1.0)","T2
0.27",True
all-mpnet-base-v2,2,Misinformation & Propaganda,459,,9.539785,7.353499,0.27447378635406494,"(1.0, 0.7333333333333333, 0.47058823529411764, 1.0)","T2
0.27",True
all-mpnet-base-v2,2,Misinformation & Propaganda,477,,9.389637,7.167476,0.27447378635406494,"(1.0, 0.7333333333333333, 0.47058823529411764, 1.0)","T2
0.27",True
all-mpnet-base-v2,3,Fact-Checking & Verification,28,,10.160741,3.2628255,0.21909530460834503,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313, 1.0)","T3
0.22",True
all-mpnet-base-v2,3,Fact-Checking & Verification,38,,10.088367,3.6049113,0.21909530460834503,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313, 1.0)","T3
0.22",True
all-mpnet-base-v2,3,Fact-Checking & Verification,103,,10.153377,3.33196,0.21909530460834503,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313, 1.0)","T3
0.22",True
