author,community_id,degree,degree_centrality,publications
Mizzaro S,2,21,0.1020408163265306,5
Roitero K,2,21,0.1020408163265306,5
Soprano M,2,21,0.1020408163265306,5
Demartini G,2,19,0.1020408163265306,4
Spina D,2,19,0.1020408163265306,4
Ceolin D,2,15,0.1020408163265306,5
Hasanain M,3,15,0.08163265306122448,5
Nakov P,3,14,0.08163265306122448,6
Elsayed T,3,14,0.08163265306122448,5
Suwaileh R,3,14,0.08163265306122448,4
Zhang Y,5,13,0.18367346938775508,15
Zhang X,8,13,0.18367346938775508,10
Barrón-Cedeño A,3,13,0.08163265306122448,4
Yang X,8,11,0.14285714285714285,5
Wang S,8,10,0.18367346938775508,10
Wang H,8,10,0.16326530612244897,6
Abdelzaher T,6,10,0.1020408163265306,5
Li Y,8,9,0.16326530612244897,11
Wang Z,6,9,0.12244897959183673,7
Su L,6,9,0.08163265306122448,4
Yao S,6,9,0.08163265306122448,4
Liu Y,8,8,0.1020408163265306,6
"Roitero, Kevin",13,8,0.04081632653061224,5
Chen Z,8,7,0.08163265306122448,5
"Demartini, Gianluca",13,7,0.04081632653061224,6
"Mizzaro, Stefano",13,7,0.04081632653061224,4
Liu Z,8,6,0.1020408163265306,5
Zhou J,7,6,0.08163265306122448,5
Wang Y,8,5,0.1020408163265306,4
Liu J,7,5,0.061224489795918366,5
Wang D,5,5,0.04081632653061224,7
Wang L,8,4,0.08163265306122448,5
Chen H,8,4,0.08163265306122448,4
Li S,6,4,0.08163265306122448,4
Chen J,5,4,0.061224489795918366,5
Li X,8,4,0.061224489795918366,5
Wu H,7,4,0.04081632653061224,5
Liu H,8,3,0.061224489795918366,5
Li J,8,2,0.04081632653061224,4
Li W,8,2,0.04081632653061224,4
Zhang W,7,2,0.04081632653061224,4
Zhang J,6,1,0.02040816326530612,6
Liu X,5,1,0.02040816326530612,4
Vishwakarma D.K,11,0,0.0,5
Zubiaga A,12,0,0.0,5
Bonet-Jover A,14,0,0.0,4
Kumar S,4,0,0.0,4
Loia V,9,0,0.0,4
Wang X,1,0,0.0,4
Zhang L,10,0,0.0,4
