embedding_model,topic_id,topic_label,document_id,score,x,y,density,color,label,cohesive
distiluse-base-multilingual-cased-v1,0,Fact-Checking & Verification,0,,2.3386717,5.0522485,0.27938777208328247,"(np.float64(0.6823529411764706), np.float64(0.7803921568627451), np.float64(0.9098039215686274), np.float64(1.0))","T0
0.28",True
distiluse-base-multilingual-cased-v1,0,Fact-Checking & Verification,19,,2.1927598,5.335998,0.27938777208328247,"(np.float64(0.6823529411764706), np.float64(0.7803921568627451), np.float64(0.9098039215686274), np.float64(1.0))","T0
0.28",True
distiluse-base-multilingual-cased-v1,0,Fact-Checking & Verification,43,,2.267085,4.8604827,0.27938777208328247,"(np.float64(0.6823529411764706), np.float64(0.7803921568627451), np.float64(0.9098039215686274), np.float64(1.0))","T0
0.28",True
distiluse-base-multilingual-cased-v1,0,Fact-Checking & Verification,183,,2.21905,4.8582993,0.27938777208328247,"(np.float64(0.6823529411764706), np.float64(0.7803921568627451), np.float64(0.9098039215686274), np.float64(1.0))","T0
0.28",True
distiluse-base-multilingual-cased-v1,0,Fact-Checking & Verification,224,,2.5145905,4.934928,0.27938777208328247,"(np.float64(0.6823529411764706), np.float64(0.7803921568627451), np.float64(0.9098039215686274), np.float64(1.0))","T0
0.28",True
distiluse-base-multilingual-cased-v1,0,Fact-Checking & Verification,305,,2.355617,5.0014997,0.27938777208328247,"(np.float64(0.6823529411764706), np.float64(0.7803921568627451), np.float64(0.9098039215686274), np.float64(1.0))","T0
0.28",True
distiluse-base-multilingual-cased-v1,0,Fact-Checking & Verification,353,,2.0993314,4.966804,0.27938777208328247,"(np.float64(0.6823529411764706), np.float64(0.7803921568627451), np.float64(0.9098039215686274), np.float64(1.0))","T0
0.28",True
distiluse-base-multilingual-cased-v1,0,Fact-Checking & Verification,366,,2.3304012,4.924837,0.27938777208328247,"(np.float64(0.6823529411764706), np.float64(0.7803921568627451), np.float64(0.9098039215686274), np.float64(1.0))","T0
0.28",True
distiluse-base-multilingual-cased-v1,0,Fact-Checking & Verification,402,,2.1033807,4.6623673,0.27938777208328247,"(np.float64(0.6823529411764706), np.float64(0.7803921568627451), np.float64(0.9098039215686274), np.float64(1.0))","T0
0.28",True
distiluse-base-multilingual-cased-v1,0,Fact-Checking & Verification,461,,2.3709052,4.955651,0.27938777208328247,"(np.float64(0.6823529411764706), np.float64(0.7803921568627451), np.float64(0.9098039215686274), np.float64(1.0))","T0
0.28",True
distiluse-base-multilingual-cased-v1,0,Fact-Checking & Verification,473,,2.1897848,5.320339,0.27938777208328247,"(np.float64(0.6823529411764706), np.float64(0.7803921568627451), np.float64(0.9098039215686274), np.float64(1.0))","T0
0.28",True
distiluse-base-multilingual-cased-v1,0,Fact-Checking & Verification,512,,2.527161,5.0378685,0.27938777208328247,"(np.float64(0.6823529411764706), np.float64(0.7803921568627451), np.float64(0.9098039215686274), np.float64(1.0))","T0
0.28",True
distiluse-base-multilingual-cased-v1,0,Fact-Checking & Verification,632,,2.1710913,4.7387915,0.27938777208328247,"(np.float64(0.6823529411764706), np.float64(0.7803921568627451), np.float64(0.9098039215686274), np.float64(1.0))","T0
0.28",True
distiluse-base-multilingual-cased-v1,0,Fact-Checking & Verification,633,,2.3200545,4.771386,0.27938777208328247,"(np.float64(0.6823529411764706), np.float64(0.7803921568627451), np.float64(0.9098039215686274), np.float64(1.0))","T0
0.28",True
distiluse-base-multilingual-cased-v1,0,Fact-Checking & Verification,637,,2.3864465,5.080962,0.27938777208328247,"(np.float64(0.6823529411764706), np.float64(0.7803921568627451), np.float64(0.9098039215686274), np.float64(1.0))","T0
0.28",True
distiluse-base-multilingual-cased-v1,0,Fact-Checking & Verification,686,,2.307134,4.704587,0.27938777208328247,"(np.float64(0.6823529411764706), np.float64(0.7803921568627451), np.float64(0.9098039215686274), np.float64(1.0))","T0
0.28",True
distiluse-base-multilingual-cased-v1,0,Fact-Checking & Verification,695,,2.504667,4.911463,0.27938777208328247,"(np.float64(0.6823529411764706), np.float64(0.7803921568627451), np.float64(0.9098039215686274), np.float64(1.0))","T0
0.28",True
distiluse-base-multilingual-cased-v1,0,Fact-Checking & Verification,747,,2.2591443,4.862,0.27938777208328247,"(np.float64(0.6823529411764706), np.float64(0.7803921568627451), np.float64(0.9098039215686274), np.float64(1.0))","T0
0.28",True
distiluse-base-multilingual-cased-v1,3,"fact, verification",48,,1.8033597,8.291575,0.22793534398078918,"(np.float64(0.17254901960784313), np.float64(0.6274509803921569), np.float64(0.17254901960784313), np.float64(1.0))","T3
0.23",True
distiluse-base-multilingual-cased-v1,3,"fact, verification",57,,2.2324681,8.633162,0.22793534398078918,"(np.float64(0.17254901960784313), np.float64(0.6274509803921569), np.float64(0.17254901960784313), np.float64(1.0))","T3
0.23",True
distiluse-base-multilingual-cased-v1,3,"fact, verification",177,,2.1839411,8.613804,0.22793534398078918,"(np.float64(0.17254901960784313), np.float64(0.6274509803921569), np.float64(0.17254901960784313), np.float64(1.0))","T3
0.23",True
distiluse-base-multilingual-cased-v1,3,"fact, verification",199,,2.0224383,8.394108,0.22793534398078918,"(np.float64(0.17254901960784313), np.float64(0.6274509803921569), np.float64(0.17254901960784313), np.float64(1.0))","T3
0.23",True
distiluse-base-multilingual-cased-v1,3,"fact, verification",357,,2.0564442,8.60359,0.22793534398078918,"(np.float64(0.17254901960784313), np.float64(0.6274509803921569), np.float64(0.17254901960784313), np.float64(1.0))","T3
0.23",True
distiluse-base-multilingual-cased-v1,3,"fact, verification",370,,1.9433831,8.443084,0.22793534398078918,"(np.float64(0.17254901960784313), np.float64(0.6274509803921569), np.float64(0.17254901960784313), np.float64(1.0))","T3
0.23",True
distiluse-base-multilingual-cased-v1,3,"fact, verification",397,,2.0022957,8.279801,0.22793534398078918,"(np.float64(0.17254901960784313), np.float64(0.6274509803921569), np.float64(0.17254901960784313), np.float64(1.0))","T3
0.23",True
distiluse-base-multilingual-cased-v1,3,"fact, verification",398,,1.9846117,8.71748,0.22793534398078918,"(np.float64(0.17254901960784313), np.float64(0.6274509803921569), np.float64(0.17254901960784313), np.float64(1.0))","T3
0.23",True
distiluse-base-multilingual-cased-v1,3,"fact, verification",492,,1.9555446,8.465496,0.22793534398078918,"(np.float64(0.17254901960784313), np.float64(0.6274509803921569), np.float64(0.17254901960784313), np.float64(1.0))","T3
0.23",True
distiluse-base-multilingual-cased-v1,3,"fact, verification",495,,2.1832564,8.478117,0.22793534398078918,"(np.float64(0.17254901960784313), np.float64(0.6274509803921569), np.float64(0.17254901960784313), np.float64(1.0))","T3
0.23",True
distiluse-base-multilingual-cased-v1,3,"fact, verification",498,,2.231861,8.601287,0.22793534398078918,"(np.float64(0.17254901960784313), np.float64(0.6274509803921569), np.float64(0.17254901960784313), np.float64(1.0))","T3
0.23",True
distiluse-base-multilingual-cased-v1,3,"fact, verification",507,,2.096755,8.470789,0.22793534398078918,"(np.float64(0.17254901960784313), np.float64(0.6274509803921569), np.float64(0.17254901960784313), np.float64(1.0))","T3
0.23",True
distiluse-base-multilingual-cased-v1,3,"fact, verification",510,,2.1648238,8.633881,0.22793534398078918,"(np.float64(0.17254901960784313), np.float64(0.6274509803921569), np.float64(0.17254901960784313), np.float64(1.0))","T3
0.23",True
distiluse-base-multilingual-cased-v1,3,"fact, verification",566,,2.1263576,8.550845,0.22793534398078918,"(np.float64(0.17254901960784313), np.float64(0.6274509803921569), np.float64(0.17254901960784313), np.float64(1.0))","T3
0.23",True
distiluse-base-multilingual-cased-v1,3,"fact, verification",569,,2.0724182,8.715628,0.22793534398078918,"(np.float64(0.17254901960784313), np.float64(0.6274509803921569), np.float64(0.17254901960784313), np.float64(1.0))","T3
0.23",True
distiluse-base-multilingual-cased-v1,3,"fact, verification",634,,2.0335848,8.371998,0.22793534398078918,"(np.float64(0.17254901960784313), np.float64(0.6274509803921569), np.float64(0.17254901960784313), np.float64(1.0))","T3
0.23",True
distiluse-base-multilingual-cased-v1,5,"images, image",70,,-1.7159944,11.657202,0.3449792265892029,"(np.float64(0.8392156862745098), np.float64(0.15294117647058825), np.float64(0.1568627450980392), np.float64(1.0))","T5
0.34",True
distiluse-base-multilingual-cased-v1,5,"images, image",136,,-2.2496052,11.395352,0.3449792265892029,"(np.float64(0.8392156862745098), np.float64(0.15294117647058825), np.float64(0.1568627450980392), np.float64(1.0))","T5
0.34",True
distiluse-base-multilingual-cased-v1,5,"images, image",152,,-1.9836398,11.573232,0.3449792265892029,"(np.float64(0.8392156862745098), np.float64(0.15294117647058825), np.float64(0.1568627450980392), np.float64(1.0))","T5
0.34",True
distiluse-base-multilingual-cased-v1,5,"images, image",155,,-2.3317628,11.329097,0.3449792265892029,"(np.float64(0.8392156862745098), np.float64(0.15294117647058825), np.float64(0.1568627450980392), np.float64(1.0))","T5
0.34",True
distiluse-base-multilingual-cased-v1,5,"images, image",160,,-2.1522243,11.320261,0.3449792265892029,"(np.float64(0.8392156862745098), np.float64(0.15294117647058825), np.float64(0.1568627450980392), np.float64(1.0))","T5
0.34",True
distiluse-base-multilingual-cased-v1,5,"images, image",185,,-1.8903588,11.656528,0.3449792265892029,"(np.float64(0.8392156862745098), np.float64(0.15294117647058825), np.float64(0.1568627450980392), np.float64(1.0))","T5
0.34",True
distiluse-base-multilingual-cased-v1,5,"images, image",259,,-2.0060916,11.67158,0.3449792265892029,"(np.float64(0.8392156862745098), np.float64(0.15294117647058825), np.float64(0.1568627450980392), np.float64(1.0))","T5
0.34",True
distiluse-base-multilingual-cased-v1,5,"images, image",336,,-2.152933,11.326998,0.3449792265892029,"(np.float64(0.8392156862745098), np.float64(0.15294117647058825), np.float64(0.1568627450980392), np.float64(1.0))","T5
0.34",True
