author,community_id,degree,degree_centrality,publications
Mizzaro S,9,21,0.1020408163265306,5
Roitero K,9,21,0.1020408163265306,5
Soprano M,9,21,0.1020408163265306,5
Demartini G,9,19,0.1020408163265306,4
Spina D,9,19,0.1020408163265306,4
Ceolin D,9,15,0.1020408163265306,5
Hasanain M,4,15,0.08163265306122448,5
Nakov P,4,14,0.08163265306122448,6
Elsayed T,4,14,0.08163265306122448,5
Suwaileh R,4,14,0.08163265306122448,4
Zhang Y,12,13,0.18367346938775508,15
Zhang X,10,13,0.18367346938775508,10
Barrón-Cedeño A,4,13,0.08163265306122448,4
Yang X,10,11,0.14285714285714285,5
Wang S,10,10,0.18367346938775508,10
Wang H,10,10,0.16326530612244897,6
Abdelzaher T,3,10,0.1020408163265306,5
Li Y,10,9,0.16326530612244897,11
Wang Z,3,9,0.12244897959183673,7
Su L,3,9,0.08163265306122448,4
Yao S,3,9,0.08163265306122448,4
Liu Y,10,8,0.1020408163265306,6
"Roitero, Kevin",1,8,0.04081632653061224,5
Chen Z,10,7,0.08163265306122448,5
"Demartini, Gianluca",1,7,0.04081632653061224,6
"Mizzaro, Stefano",1,7,0.04081632653061224,4
Liu Z,10,6,0.1020408163265306,5
Zhou J,13,6,0.08163265306122448,5
Wang Y,10,5,0.1020408163265306,4
Liu J,13,5,0.061224489795918366,5
Wang D,12,5,0.04081632653061224,7
Wang L,10,4,0.08163265306122448,5
Chen H,10,4,0.08163265306122448,4
Li S,3,4,0.08163265306122448,4
Chen J,12,4,0.061224489795918366,5
Li X,10,4,0.061224489795918366,5
Wu H,13,4,0.04081632653061224,5
Liu H,10,3,0.061224489795918366,5
Li J,10,2,0.04081632653061224,4
Li W,10,2,0.04081632653061224,4
Zhang W,13,2,0.04081632653061224,4
Zhang J,3,1,0.02040816326530612,6
Liu X,12,1,0.02040816326530612,4
Vishwakarma D.K,14,0,0.0,5
Zubiaga A,8,0,0.0,5
Bonet-Jover A,6,0,0.0,4
Kumar S,11,0,0.0,4
Loia V,5,0,0.0,4
Wang X,2,0,0.0,4
Zhang L,7,0,0.0,4
