author,community_id,degree,weighted_degree,degree_centrality,betweenness_centrality
Nakov P.,6,25,98,0.510204,0.000170
Barrón-Cedeño A.,6,25,81,0.510204,0.000170
Alam F.,3,24,75,0.489796,0.000170
Shaar S.,3,24,72,0.489796,0.000170
Kutlu M.,3,24,63,0.489796,0.002154
Kartal Y.S.,3,24,62,0.489796,0.003314
Míguez R.,3,24,60,0.489796,0.003314
Nikolov A.,3,24,60,0.489796,0.003314
Da San Martino G.,6,21,55,0.428571,0.002126
Mubarak H.,3,21,53,0.428571,0.000702
Zaghouani W.,3,23,53,0.469388,0.025479
Li C.,3,22,49,0.448980,0.149617
Babulkov N.,3,24,48,0.489796,0.003946
Caselli T.,3,21,48,0.428571,0.000808
Elsayed T.,6,16,43,0.326531,0.002839
Mandl T.,3,21,41,0.428571,0.001120
Shahi G.K.,3,21,41,0.428571,0.001120
Struß J.M.,3,21,41,0.428571,0.001120
da San Martino G.,3,23,38,0.469388,0.022194
Hasanain M.,6,15,37,0.306122,0.002363
Beltrán J.,3,21,29,0.428571,0.066074
Haouari F.,6,15,28,0.306122,0.006488
Köhler J.,3,19,24,0.387755,0.047242
Siegel M.,3,19,24,0.387755,0.047242
Wiegand M.,3,19,24,0.387755,0.047242
Suwaileh R.,6,7,22,0.142857,0.000000
Mizzaro S.,0,5,21,0.102041,0.000000
Roitero K.,0,5,21,0.102041,0.000000
Soprano M.,0,5,21,0.102041,0.000000
Demartini G.,0,5,19,0.102041,0.000000
Spina D.,0,5,19,0.102041,0.000000
Abdelzaher T.,2,5,18,0.102041,0.000000
Kaplan L.,2,5,18,0.102041,0.000000
Su L.,2,5,18,0.102041,0.000000
Yao S.,2,5,18,0.102041,0.000000
Ceolin D.,0,5,15,0.102041,0.000000
Shao H.,2,5,14,0.102041,0.000000
Zhao Y.,2,5,14,0.102041,0.000000
Gianluca Demartini,4,2,7,0.040816,0.000000
Kevin Roitero,4,2,7,0.040816,0.000000
Damiano Spina,4,2,6,0.040816,0.000000
Zhang Y.,1,3,6,0.061224,0.026361
Wang D.,1,1,4,0.020408,0.000000
Wang H.,1,4,4,0.081633,0.073980
Wang S.,1,4,4,0.081633,0.136905
Chen H.,1,2,2,0.040816,0.000000
Zhang X.,1,2,2,0.040816,0.000000
Liu H.,1,1,1,0.020408,0.000000
Wang X.,5,1,1,0.020408,0.000000
Wu H.,5,1,1,0.020408,0.000000
