embedding_model,topic_id,topic_label,document_id,score,x,y,density,color,label,cohesive
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,4,,-3.9905307,4.1019483,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,5,,-4.8505244,3.3333423,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,6,,-4.8300104,3.5524397,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,7,,-4.7929564,5.110469,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,11,,-4.3429685,4.6576185,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,12,,0.21704665,4.031877,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,13,,-1.0859187,4.6301694,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,14,,-0.9990102,4.7089047,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,18,,-4.9388175,4.3221602,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,19,,-5.030263,5.277638,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,20,,0.48695257,3.8472044,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,21,,-3.02317,5.4345326,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,24,,0.28250924,2.964363,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,25,,-0.15525365,3.0091217,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,28,,0.52023804,3.0389686,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,29,,-2.449355,4.32241,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,32,,-0.6966131,4.5086374,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,38,,-2.228494,5.09268,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
paraphrase-MiniLM-L6-v2,-1,Misinformation & Propaganda,41,,-5.057314,4.591781,2.902117967605591,"(np.float64(0.12156862745098039), np.float64(0.4666666666666667), np.float64(0.7058823529411765), np.float64(1.0))","T-1
2.90",False
